file,price,beds,baths,sqft,yearbuilt,zip,zestimate,zlink,address,dateofsale
boston_sold_02110.csv,1850000,2,2,1835,1832,2110,1568451,http://www.zillow.com/homedetails/39-Commercial-Wharf-APT-8-Boston-MA-02110/59174551_zpid/,"39 Commercial Wharf, APT 8, Boston, MA 02110", 1/28/13
boston_sold_02110.csv,1650000,3,2.5,1884,1910,2110,1166351,http://www.zillow.com/homedetails/99-105-Broad-St-UNIT-9B-Boston-MA-02110/90136260_zpid/,"99-105 Broad St, UNIT 9B, BOSTON, MA 02110", 1/28/13
boston_sold_02110.csv,1,2,1.5,1411,1987,2110,954285,http://www.zillow.com/homedetails/20-Rowes-Wharf-UNIT-TH1-Boston-MA-02110/59163875_zpid/,"20 Rowes Wharf, UNIT TH1, Boston, MA 02110", 1/18/13
boston_sold_02110.csv,1,3,2,1406,1850,2110,983504,http://www.zillow.com/homedetails/28-32-Atlantic-Ave-UNIT-626-Boston-MA-02110/59174345_zpid/,"28-32 Atlantic Ave, UNIT 626, BOSTON, MA 02110",1/7/13
boston_sold_02110.csv,1,1,1,753,1970,2110,441943,http://www.zillow.com/homedetails/65-E-India-Row-APT-3A-Boston-MA-02110/59174955_zpid/,"65 E India Row, APT 3A, Boston, MA 02110",1/7/13
boston_sold_02110.csv,1875000,2,2,1520,1987,2110,2496614,http://www.zillow.com/homedetails/20-Rowes-Wharf-PH-7-Boston-MA-02110/59163880_zpid/,"20 Rowes Wharf, PH 7, Boston, MA 02110",12/28/12
boston_sold_02110.csv,530000,1,1,878,1972,2110,516723,http://www.zillow.com/homedetails/85-E-India-Row-APT-10H-Boston-MA-02110/59175326_zpid/,"85 E India Row, APT 10H, Boston, MA 02110",12/28/12
boston_sold_02110.csv,480000,1,1,750,1972,2110,472157,http://www.zillow.com/homedetails/85-E-India-Row-APT-18D-Boston-MA-02110/59175378_zpid/,"85 E India Row, APT 18D, Boston, MA 02110",12/28/12
boston_sold_02110.csv,1875000,2,2,1442,1987,2110,1575535,http://www.zillow.com/homedetails/20-Rowes-Wharf-UNIT-PH7-Boston-MA-02110/59163941_zpid/,"20 Rowes Wharf, UNIT PH7, Boston, MA 02110",12/28/12
boston_sold_02110.csv,950000,2,2.5,1640,1970,2110,946334,http://www.zillow.com/homedetails/65-E-India-Row-APT-26B-Boston-MA-02110/59175129_zpid/,"65 E India Row, APT 26B, Boston, MA 02110",12/28/12
